strategy,total_return,CAGR,vol,sharpe,sortino,max_dd,calmar,exposure,win_day_rate,profit_factor,avg_turnover_day,n_days,benchmark_return
"{'macd_fast': 8, 'don_n': 20, 'ema_fast': 50, 'target_vol': 0.5}",14.957762806898339,0.3733261827007499,0.3294747209383118,1.126919117353161,1.525111620064291,-0.45420228580795907,0.8219381415852136,0.893944148101663,0.5208845208845209,1.24287404647155,0.07973846045699576,3188,14.578950119612527
"{'macd_fast': 8, 'don_n': 20, 'ema_fast': 50, 'target_vol': 0.6}",15.158359044939484,0.3752923955923442,0.33902757644399184,1.108729577182412,1.4940719538488274,-0.47013946977911936,0.7982575803913333,0.893944148101663,0.5208845208845209,1.2387189501775535,0.08027558021808938,3188,14.578950119612527
"{'macd_fast': 8, 'don_n': 30, 'ema_fast': 40, 'target_vol': 0.4}",12.185930511515197,0.3436426755342379,0.3053243112914328,1.1195776693931934,1.5170383099803622,-0.4043910931737674,0.8497780523236552,0.8911201757138375,0.5204225352112676,1.2529615858098835,0.07085595843073823,3188,14.578950119612527
"{'macd_fast': 8, 'don_n': 30, 'ema_fast': 40, 'target_vol': 0.5}",13.990440290339201,0.36352592218040325,0.3249626780869729,1.115936335988212,1.5093891857574022,-0.4410668617656567,0.8241968592361588,0.8911201757138375,0.520774647887324,1.2518299609978578,0.07232491642647397,3188,14.578950119612527
"{'macd_fast': 8, 'don_n': 30, 'ema_fast': 40, 'target_vol': 0.6}",14.232182018317316,0.3660264451644968,0.3342539969463797,1.099484044491921,1.48194109177557,-0.4565595276658302,0.8017058521061085,0.8911201757138375,0.520774647887324,1.2477082926797938,0.07263893179095808,3188,14.578950119612527
"{'macd_fast': 8, 'don_n': 30, 'ema_fast': 50, 'target_vol': 0.4}",13.5166482543244,0.35851976540559405,0.3063413128932136,1.1528684597712227,1.5622056755114528,-0.4041913933548611,0.8870049469134305,0.893944148101663,0.521937521937522,1.2497443236257841,0.069965016183153,3188,14.578950119612527
"{'macd_fast': 8, 'don_n': 30, 'ema_fast': 50, 'target_vol': 0.5}",15.336784864236641,0.37702321827177165,0.32589442404529384,1.1439503110219285,1.5462130955014437,-0.4390119933847788,0.8587993584524327,0.893944148101663,0.521937521937522,1.247919410938118,0.07149164534352243,3188,14.578950119612527
"{'macd_fast': 8, 'don_n': 30, 'ema_fast': 50, 'target_vol': 0.6}",15.533116608493966,0.3789085009358919,0.3352458890657516,1.1252874839482683,1.5137309807310695,-0.45456161670457185,0.8335690630521311,0.893944148101663,0.521937521937522,1.2435616777459575,0.07178631643305666,3188,14.578950119612527
"{'macd_fast': 12, 'don_n': 15, 'ema_fast': 40, 'target_vol': 0.4}",13.689491191251117,0.3603625887431341,0.3122148177692253,1.1412353891613505,1.5542365765948924,-0.36293152920371774,0.9929216938902499,0.8895513021650455,0.5185185185185185,1.247248691683042,0.07916744113077209,3188,14.578950119612527
"{'macd_fast': 12, 'don_n': 15, 'ema_fast': 40, 'target_vol': 0.5}",15.692971191307976,0.3804289252374675,0.33161524926261715,1.1371821104110749,1.550407627737436,-0.4054442445868377,0.9383014565298327,0.8895513021650455,0.5192239858906526,1.2460038020987874,0.08093176556735175,3188,14.578950119612527
"{'macd_fast': 12, 'don_n': 15, 'ema_fast': 40, 'target_vol': 0.6}",16.122844125842178,0.38445452837894334,0.3406770417837857,1.1243365643133012,1.5285132132331036,-0.420445049572138,0.9143989892857103,0.8895513021650455,0.5192239858906526,1.242967577835622,0.08138769716804915,3188,14.578950119612527
"{'macd_fast': 12, 'don_n': 15, 'ema_fast': 50, 'target_vol': 0.4}",15.192443284686874,0.3756243335819849,0.3132442385130762,1.1741596330177242,1.602300931165496,-0.3623070050435597,1.0367570274740452,0.892375274552871,0.519690576652602,1.2525634776029133,0.07849722180110348,3188,14.578950119612527
"{'macd_fast': 12, 'don_n': 15, 'ema_fast': 50, 'target_vol': 0.5}",17.242914772721814,0.39453785781635786,0.33269241696225027,1.165178332357783,1.5898258758525723,-0.4030829345729252,0.9788006982592279,0.892375274552871,0.520042194092827,1.2501803108575509,0.08032130837987833,3188,14.578950119612527
"{'macd_fast': 12, 'don_n': 15, 'ema_fast': 50, 'target_vol': 0.6}",17.62628915184999,0.3978634071899707,0.34175920334099136,1.150111723640137,1.5632620536284496,-0.4181433160583369,0.9515001003494772,0.892375274552871,0.520042194092827,1.2465804892451298,0.08077132831124119,3188,14.578950119612527
"{'macd_fast': 12, 'don_n': 20, 'ema_fast': 40, 'target_vol': 0.4}",13.995050025419683,0.36357393714997777,0.3090372001876923,1.1575109881458818,1.5734019851931333,-0.3747553921564378,0.9701633245565351,0.8895513021650455,0.5192239858906526,1.2510594985651886,0.07303749913406425,3188,14.578950119612527
"{'macd_fast': 12, 'don_n': 20, 'ema_fast': 40, 'target_vol': 0.5}",16.03926805121244,0.38367893170842615,0.32848944409699726,1.1521226616499305,1.5671830718990756,-0.4170689419347182,0.9199412690108235,0.8895513021650455,0.5199294532627866,1.249664601361929,0.07471118174192991,3188,14.578950119612527
"{'macd_fast': 12, 'don_n': 20, 'ema_fast': 40, 'target_vol': 0.6}",16.292604330097554,0.38601965991244014,0.3374607851733002,1.1352747780680426,1.5384853759998536,-0.43564506396571234,0.8860875328150671,0.8895513021650455,0.5199294532627866,1.2457447797583072,0.07511606271455167,3188,14.578950119612527
"{'macd_fast': 12, 'don_n': 20, 'ema_fast': 50, 'target_vol': 0.4}",15.526511341272677,0.37884539666634054,0.3100639380314011,1.1906552151143353,1.6218005071597332,-0.37384750342296913,1.0133688019783746,0.892375274552871,0.5203938115330521,1.2563824920387472,0.07237372379803543,3188,14.578950119612527
"{'macd_fast': 12, 'don_n': 20, 'ema_fast': 50, 'target_vol': 0.5}",17.596640337048672,0.3976083939112518,0.32952575819965213,1.1799721131267762,1.6062338619604744,-0.41475380002868445,0.958661244053106,0.892375274552871,0.520745428973277,1.2537557251200016,0.07410160485693502,3188,14.578950119612527
"{'macd_fast': 12, 'don_n': 20, 'ema_fast': 50, 'target_vol': 0.6}",17.81227273476895,0.3994549256129971,0.33849381175245435,1.1613967713603142,1.5735888275508563,-0.4334036981228522,0.9216693981687438,0.892375274552871,0.520745428973277,1.2493746811891042,0.07449830320012768,3188,14.578950119612527
"{'macd_fast': 12, 'don_n': 30, 'ema_fast': 40, 'target_vol': 0.4}",14.462858579129243,0.36837996134484485,0.30586777041339114,1.1778227106074055,1.6005534435341142,-0.3723058340743286,0.9894552478898303,0.8895513021650455,0.5206349206349207,1.2568640716716344,0.06515246605534837,3188,14.578950119612527
"{'macd_fast': 12, 'don_n': 30, 'ema_fast': 40, 'target_vol': 0.5}",16.478019964267265,0.38771366000478436,0.3250195302967844,1.1698857279362402,1.5903158168717333,-0.4009935941760736,0.9668824281380961,0.8895513021650455,0.5209876543209877,1.2550383864158063,0.06652738635054224,3188,14.578950119612527
"{'macd_fast': 12, 'don_n': 30, 'ema_fast': 40, 'target_vol': 0.6}",16.725213770359684,0.38994750038349735,0.3337735570862683,1.1526006203697574,1.5601613114942763,-0.41929704366103737,0.9300029806523835,0.8895513021650455,0.5209876543209877,1.250904743542818,0.06671498039605238,3188,14.578950119612527
"{'macd_fast': 12, 'don_n': 30, 'ema_fast': 50, 'target_vol': 0.4}",16.010599345785057,0.3834121064078262,0.3067872519317737,1.2108645990838047,1.6482151393970133,-0.3583547378119135,1.0699233635054222,0.892375274552871,0.5218002812939522,1.2620751823463627,0.06448714168878493,3188,14.578950119612527
"{'macd_fast': 12, 'don_n': 30, 'ema_fast': 50, 'target_vol': 0.5}",18.034323592625228,0.4013369367201751,0.3259532374175505,1.197487066573726,1.6283829651412607,-0.39861460816577654,1.0068294751337021,0.892375274552871,0.5218002812939522,1.2589892621859724,0.06591499572565897,3188,14.578950119612527
"{'macd_fast': 12, 'don_n': 30, 'ema_fast': 50, 'target_vol': 0.6}",18.24168485531183,0.4030769721587635,0.33470735544843583,1.1784710358880275,1.5942514913133463,-0.4169907507802978,0.9666328843133858,0.892375274552871,0.5218002812939522,1.2543927877087937,0.06608812948929971,3188,14.578950119612527
